Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,192,0,108,0.0,1.0
2,174,0,126,0.0,1.0
3,171,0,129,0.0,1.0
4,171,0,129,0.0,1.0
5,171,0,129,0.0,1.0
6,170,0,130,0.0,1.0
7,170,0,130,0.0,1.0
8,170,0,130,0.0,1.0
9,170,0,130,0.0,1.0
10,170,0,130,0.0,1.0
11,170,0,130,0.0,1.0
12,170,0,130,0.0,1.0
13,170,0,130,0.0,1.0
14,170,0,130,0.0,1.0
15,170,0,130,0.0,1.0
16,170,0,130,0.0,1.0
17,170,0,130,0.0,1.0
18,170,0,130,0.0,1.0
19,170,0,130,0.0,1.0
20,170,0,130,0.0,1.0
21,170,0,130,0.0,1.0
22,170,0,130,0.0,1.0
23,170,0,130,0.0,1.0
24,170,0,130,0.0,1.0
25,170,0,130,0.0,1.0
26,170,0,130,0.0,1.0
27,170,0,130,0.0,1.0
28,170,0,130,0.0,1.0
29,170,0,130,0.0,1.0
30,170,0,130,0.0,1.0
1,201,5,94,0.1,0.9
2,183,2,115,0.1,0.9
3,186,6,108,0.1,0.9
4,180,6,114,0.1,0.9
5,181,5,114,0.1,0.9
6,176,4,120,0.1,0.9
7,178,4,118,0.1,0.9
8,178,3,119,0.1,0.9
9,177,2,121,0.1,0.9
10,179,0,121,0.1,0.9
11,176,3,121,0.1,0.9
12,178,7,115,0.1,0.9
13,177,6,117,0.1,0.9
14,179,3,118,0.1,0.9
15,187,3,110,0.1,0.9
16,179,3,118,0.1,0.9
17,178,5,117,0.1,0.9
18,179,4,117,0.1,0.9
19,178,4,118,0.1,0.9
20,182,3,115,0.1,0.9
21,182,3,115,0.1,0.9
22,178,2,120,0.1,0.9
23,181,0,119,0.1,0.9
24,177,0,123,0.1,0.9
25,179,0,121,0.1,0.9
26,176,1,123,0.1,0.9
27,181,0,119,0.1,0.9
28,177,1,122,0.1,0.9
29,176,4,120,0.1,0.9
30,176,4,120,0.1,0.9
1,208,17,75,0.2,0.8
2,199,11,90,0.2,0.8
3,197,14,89,0.2,0.8
4,190,14,96,0.2,0.8
5,180,16,104,0.2,0.8
6,187,14,99,0.2,0.8
7,192,9,99,0.2,0.8
8,188,9,103,0.2,0.8
9,190,10,100,0.2,0.8
10,179,14,107,0.2,0.8
11,197,9,94,0.2,0.8
12,191,9,100,0.2,0.8
13,177,12,111,0.2,0.8
14,183,10,107,0.2,0.8
15,184,9,107,0.2,0.8
16,194,5,101,0.2,0.8
17,191,6,103,0.2,0.8
18,184,6,110,0.2,0.8
19,190,11,99,0.2,0.8
20,190,11,99,0.2,0.8
21,192,12,96,0.2,0.8
22,191,10,99,0.2,0.8
23,188,10,102,0.2,0.8
24,195,12,93,0.2,0.8
25,194,13,93,0.2,0.8
26,187,21,92,0.2,0.8
27,189,24,87,0.2,0.8
28,197,19,84,0.2,0.8
29,192,15,93,0.2,0.8
30,193,13,94,0.2,0.8
1,222,20,58,0.3,0.7
2,204,38,58,0.3,0.7
3,193,32,75,0.3,0.7
4,194,25,81,0.3,0.7
5,187,30,83,0.3,0.7
6,199,28,73,0.3,0.7
7,197,26,77,0.3,0.7
8,202,20,78,0.3,0.7
9,201,19,80,0.3,0.7
10,211,15,74,0.3,0.7
11,198,25,77,0.3,0.7
12,182,36,82,0.3,0.7
13,196,25,79,0.3,0.7
14,195,26,79,0.3,0.7
15,191,27,82,0.3,0.7
16,201,21,78,0.3,0.7
17,204,24,72,0.3,0.7
18,201,25,74,0.3,0.7
