Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,186,0,114,0.0,1.0
2,169,0,131,0.0,1.0
3,168,0,132,0.0,1.0
4,168,0,132,0.0,1.0
5,167,0,133,0.0,1.0
6,167,0,133,0.0,1.0
7,167,0,133,0.0,1.0
8,167,0,133,0.0,1.0
9,167,0,133,0.0,1.0
10,167,0,133,0.0,1.0
11,167,0,133,0.0,1.0
12,167,0,133,0.0,1.0
13,167,0,133,0.0,1.0
14,167,0,133,0.0,1.0
15,167,0,133,0.0,1.0
16,167,0,133,0.0,1.0
17,167,0,133,0.0,1.0
18,167,0,133,0.0,1.0
19,167,0,133,0.0,1.0
20,167,0,133,0.0,1.0
21,167,0,133,0.0,1.0
22,167,0,133,0.0,1.0
23,167,0,133,0.0,1.0
24,167,0,133,0.0,1.0
25,167,0,133,0.0,1.0
26,167,0,133,0.0,1.0
27,167,0,133,0.0,1.0
28,167,0,133,0.0,1.0
29,167,0,133,0.0,1.0
30,167,0,133,0.0,1.0
1,197,8,95,0.1,0.9
2,183,9,108,0.1,0.9
3,181,7,112,0.1,0.9
4,183,4,113,0.1,0.9
5,181,1,118,0.1,0.9
6,184,4,112,0.1,0.9
7,181,3,116,0.1,0.9
8,184,3,113,0.1,0.9
9,182,5,113,0.1,0.9
10,172,8,120,0.1,0.9
11,175,8,117,0.1,0.9
12,181,7,112,0.1,0.9
13,176,6,118,0.1,0.9
14,179,5,116,0.1,0.9
15,179,5,116,0.1,0.9
16,178,6,116,0.1,0.9
17,175,9,116,0.1,0.9
18,171,9,120,0.1,0.9
19,180,6,114,0.1,0.9
20,176,6,118,0.1,0.9
21,178,7,115,0.1,0.9
22,182,7,111,0.1,0.9
23,174,6,120,0.1,0.9
24,175,6,119,0.1,0.9
25,173,7,120,0.1,0.9
26,175,6,119,0.1,0.9
27,175,6,119,0.1,0.9
28,175,5,120,0.1,0.9
29,181,5,114,0.1,0.9
30,176,6,118,0.1,0.9
1,203,15,82,0.2,0.8
2,194,15,91,0.2,0.8
3,189,14,97,0.2,0.8
4,185,14,101,0.2,0.8
5,186,11,103,0.2,0.8
6,191,10,99,0.2,0.8
7,188,14,98,0.2,0.8
8,179,18,103,0.2,0.8
9,181,18,101,0.2,0.8
10,180,22,98,0.2,0.8
11,173,19,108,0.2,0.8
12,181,24,95,0.2,0.8
13,181,23,96,0.2,0.8
14,181,23,96,0.2,0.8
15,187,17,96,0.2,0.8
16,183,19,98,0.2,0.8
17,186,16,98,0.2,0.8
18,188,17,95,0.2,0.8
19,180,22,98,0.2,0.8
20,182,24,94,0.2,0.8
21,179,25,96,0.2,0.8
22,178,23,99,0.2,0.8
23,181,17,102,0.2,0.8
24,183,22,95,0.2,0.8
25,185,15,100,0.2,0.8
26,188,15,97,0.2,0.8
27,185,17,98,0.2,0.8
28,186,14,100,0.2,0.8
29,184,15,101,0.2,0.8
30,182,15,103,0.2,0.8
1,204,36,60,0.3,0.7
2,190,43,67,0.3,0.7
3,190,46,64,0.3,0.7
4,185,42,73,0.3,0.7
5,199,42,59,0.3,0.7
6,191,41,68,0.3,0.7
7,188,41,71,0.3,0.7
8,189,39,72,0.3,0.7
9,182,41,77,0.3,0.7
10,193,40,67,0.3,0.7
11,186,44,70,0.3,0.7
12,200,37,63,0.3,0.7
13,189,42,69,0.3,0.7
14,178,44,78,0.3,0.7
15,184,41,75,0.3,0.7
16,188,46,66,0.3,0.7
17,182,52,66,0.3,0.7
18,185,49,66,0.3,0.7
19,170,63,67,0.3,0.7
20,186,58,56,0.3,0.7
21,175,61,64,0.3,0.7
22,169,63,68,0.3,0.7
23,170,69,61,0.3,0.7
24,178,57,65,0.3,0.7
25,173,66,61,0.3,0.7
26,164,73,63,0.3,0.7
27,157,83,60,0.3,0.7
28,165,73,62,0.3,0.7
29,166,72,62,0.3,0.7
30,175,70,55,0.3,0.7
1,204,46,50,0.4,0.6
2,189,66,45,0.4,0.6
3,190,67,43,0.4,0.6
4,183,80,37,0.4,0.6
5,176,89,35,0.4,0.6
6,164,97,39,0.4,0.6
7,152,109,39,0.4,0.6
8,148,118,34,0.4,0.6
9,149,115,36,0.4,0.6
10,141,129,30,0.4,0.6
11,131,137,32,0.4,0.6
12,126,147,27,0.4,0.6
13,125,150,25,0.4,0.6
14,124,148,28,0.4,0.6
15,116,158,26,0.4,0.6
16,121,159,20,0.4,0.6
17,118,157,25,0.4,0.6
18,119,154,27,0.4,0.6
19,122,149,29,0.4,0.6
20,122,153,25,0.4,0.6
21,112,158,30,0.4,0.6
22,115,164,21,0.4,0.6
23,109,163,28,0.4,0.6
24,109,168,23,0.4,0.6
25,119,161,20,0.4,0.6
26,115,162,23,0.4,0.6
27,112,163,25,0.4,0.6
28,116,166,18,0.4,0.6
29,122,156,22,0.4,0.6
30,107,175,18,0.4,0.6
1,196,66,38,0.5,0.5
2,182,88,30,0.5,0.5
3,165,116,19,0.5,0.5
4,132,147,21,0.5,0.5
5,116,165,19,0.5,0.5
6,108,178,14,0.5,0.5
7,95,192,13,0.5,0.5
8,85,202,13,0.5,0.5
9,82,206,12,0.5,0.5
10,68,222,10,0.5,0.5
11,56,234,10,0.5,0.5
12,41,254,5,0.5,0.5
13,42,253,5,0.5,0.5
14,29,268,3,0.5,0.5
15,23,274,3,0.5,0.5
16,25,273,2,0.5,0.5
17,24,274,2,0.5,0.5
18,25,274,1,0.5,0.5
19,21,274,5,0.5,0.5
20,20,276,4,0.5,0.5
21,17,281,2,0.5,0.5
22,11,288,1,0.5,0.5
23,6,293,1,0.5,0.5
24,6,294,0,0.5,0.5
25,5,294,1,0.5,0.5
26,3,297,0,0.5,0.5
27,1,299,0,0.5,0.5
28,1,299,0,0.5,0.5
29,0,300,0,0.5,0.5
30,0,300,0,0.5,0.5
1,194,78,28,0.6,0.4
2,150,132,18,0.6,0.4
3,126,160,14,0.6,0.4
4,98,196,6,0.6,0.4
5,68,225,7,0.6,0.4
6,49,248,3,0.6,0.4
7,36,263,1,0.6,0.4
8,28,269,3,0.6,0.4
9,25,273,2,0.6,0.4
10,22,278,0,0.6,0.4
11,20,278,2,0.6,0.4
12,19,281,0,0.6,0.4
13,11,288,1,0.6,0.4
14,12,287,1,0.6,0.4
15,10,289,1,0.6,0.4
16,7,293,0,0.6,0.4
17,9,291,0,0.6,0.4
18,7,293,0,0.6,0.4
19,5,295,0,0.6,0.4
20,5,294,1,0.6,0.4
21,5,294,1,0.6,0.4
22,1,299,0,0.6,0.4
