Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,6,0,4,0.0,1.0
2,6,0,4,0.0,1.0
3,6,0,4,0.0,1.0
4,6,0,4,0.0,1.0
5,6,0,4,0.0,1.0
6,6,0,4,0.0,1.0
7,6,0,4,0.0,1.0
8,6,0,4,0.0,1.0
9,6,0,4,0.0,1.0
10,6,0,4,0.0,1.0
1,8,0,2,0.1,0.9
2,5,0,5,0.1,0.9
3,5,0,5,0.1,0.9
4,5,0,5,0.1,0.9
5,5,0,5,0.1,0.9
6,5,0,5,0.1,0.9
7,5,0,5,0.1,0.9
8,5,0,5,0.1,0.9
9,5,0,5,0.1,0.9
10,5,0,5,0.1,0.9
1,7,0,3,0.2,0.8
2,7,0,3,0.2,0.8
3,6,0,4,0.2,0.8
4,7,0,3,0.2,0.8
5,5,0,5,0.2,0.8
6,5,0,5,0.2,0.8
7,5,0,5,0.2,0.8
8,6,0,4,0.2,0.8
9,6,0,4,0.2,0.8
10,7,0,3,0.2,0.8
1,7,0,3,0.3,0.7
2,7,0,3,0.3,0.7
3,6,0,4,0.3,0.7
4,5,0,5,0.3,0.7
5,5,0,5,0.3,0.7
6,6,0,4,0.3,0.7
7,7,1,2,0.3,0.7
8,7,2,1,0.3,0.7
9,6,2,2,0.3,0.7
10,7,1,2,0.3,0.7
1,6,0,4,0.4,0.6
2,6,2,2,0.4,0.6
3,5,2,3,0.4,0.6
4,7,1,2,0.4,0.6
5,6,2,2,0.4,0.6
6,6,3,1,0.4,0.6
7,5,3,2,0.4,0.6
8,5,4,1,0.4,0.6
9,6,3,1,0.4,0.6
10,4,5,1,0.4,0.6
1,6,4,0,0.5,0.5
2,4,5,1,0.5,0.5
3,5,5,0,0.5,0.5
4,4,6,0,0.5,0.5
5,4,6,0,0.5,0.5
6,3,7,0,0.5,0.5
7,4,6,0,0.5,0.5
8,4,6,0,0.5,0.5
9,3,7,0,0.5,0.5
10,3,7,0,0.5,0.5
1,6,4,0,0.6,0.4
2,7,2,1,0.6,0.4
3,5,4,1,0.6,0.4
4,4,6,0,0.6,0.4
5,4,5,1,0.6,0.4
6,5,4,1,0.6,0.4
7,4,6,0,0.6,0.4
8,3,7,0,0.6,0.4
9,1,9,0,0.6,0.4
10,1,9,0,0.6,0.4
1,5,5,0,0.7,0.30000000000000004
2,2,8,0,0.7,0.30000000000000004
3,0,10,0,0.7,0.30000000000000004
4,0,10,0,0.7,0.30000000000000004
5,0,10,0,0.7,0.30000000000000004
6,0,10,0,0.7,0.30000000000000004
7,0,10,0,0.7,0.30000000000000004
8,0,10,0,0.7,0.30000000000000004
9,0,10,0,0.7,0.30000000000000004
10,0,10,0,0.7,0.30000000000000004
1,2,8,0,0.8,0.19999999999999996
2,0,10,0,0.8,0.19999999999999996
3,0,10,0,0.8,0.19999999999999996
4,0,10,0,0.8,0.19999999999999996
5,0,10,0,0.8,0.19999999999999996
6,0,10,0,0.8,0.19999999999999996
7,0,10,0,0.8,0.19999999999999996
8,0,10,0,0.8,0.19999999999999996
9,0,10,0,0.8,0.19999999999999996
10,0,10,0,0.8,0.19999999999999996
1,2,8,0,0.9,0.09999999999999998
2,1,9,0,0.9,0.09999999999999998
3,0,10,0,0.9,0.09999999999999998
4,0,10,0,0.9,0.09999999999999998
5,0,10,0,0.9,0.09999999999999998
6,0,10,0,0.9,0.09999999999999998
7,0,10,0,0.9,0.09999999999999998
8,0,10,0,0.9,0.09999999999999998
9,0,10,0,0.9,0.09999999999999998
10,0,10,0,0.9,0.09999999999999998
1,5,5,0,1.0,0.0
2,2,8,0,1.0,0.0
3,1,9,0,1.0,0.0
4,0,10,0,1.0,0.0
5,0,10,0,1.0,0.0
6,0,10,0,1.0,0.0
7,0,10,0,1.0,0.0
8,0,10,0,1.0,0.0
9,0,10,0,1.0,0.0
10,0,10,0,1.0,0.0
